"Plot Title: 20363442"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20363442, SEN S/N: 20363442, LBL: 100)","RH, % (LGR S/N: 20363442, SEN S/N: 20363442, LBL: 100)","Coupler Detached (LGR S/N: 20363442)","Coupler Attached (LGR S/N: 20363442)","Host Connected (LGR S/N: 20363442)","End Of File (LGR S/N: 20363442)"
1,08/08/18 03:00:00 PM,32.691,34.534,Logged,,,
2,08/08/18 03:30:00 PM,32.975,35.445,,,,
3,08/08/18 04:00:00 PM,33.105,33.445,,,,
4,08/08/18 04:30:00 PM,33.261,32.775,,,,
5,08/08/18 05:00:00 PM,33.079,31.970,,,,
6,08/08/18 05:30:00 PM,32.898,34.144,,,,
7,08/08/18 06:00:00 PM,32.898,34.212,,,,
8,08/08/18 06:30:00 PM,32.665,32.722,,,,
9,08/08/18 07:00:00 PM,32.175,34.860,,,,
10,08/08/18 07:30:00 PM,31.970,34.366,,,,
11,08/08/18 08:00:00 PM,31.510,35.510,,,,
12,08/08/18 08:30:00 PM,31.204,35.482,,,,
13,08/08/18 09:00:00 PM,30.798,36.220,,,,
14,08/08/18 09:30:00 PM,30.444,37.799,,,,
15,08/08/18 10:00:00 PM,30.091,38.634,,,,
16,08/08/18 10:30:00 PM,29.765,39.668,,,,
17,08/08/18 11:00:00 PM,29.590,41.178,,,,
18,08/08/18 11:30:00 PM,29.439,42.385,,,,
19,08/09/18 12:00:00 AM,29.190,44.036,,,,
20,08/09/18 12:30:00 AM,28.841,43.996,,,,
21,08/09/18 01:00:00 AM,29.090,44.156,,,,
22,08/09/18 01:30:00 AM,29.090,44.778,,,,
23,08/09/18 02:00:00 AM,28.916,45.771,,,,
24,08/09/18 02:30:00 AM,28.617,46.647,,,,
25,08/09/18 03:00:00 AM,28.394,47.853,,,,
26,08/09/18 03:30:00 AM,28.196,48.475,,,,
27,08/09/18 04:00:00 AM,28.048,49.166,,,,
28,08/09/18 04:30:00 AM,27.974,50.314,,,,
29,08/09/18 05:00:00 AM,27.899,51.170,,,,
30,08/09/18 05:30:00 AM,27.727,52.169,,,,
31,08/09/18 06:00:00 AM,27.653,53.336,,,,
32,08/09/18 06:30:00 AM,27.604,53.456,,,,
33,08/09/18 07:00:00 AM,27.407,53.492,,,,
34,08/09/18 07:30:00 AM,27.505,51.532,,,,
35,08/09/18 08:00:00 AM,28.642,44.300,,,,
36,08/09/18 08:30:00 AM,28.891,42.983,,,,
37,08/09/18 09:00:00 AM,29.165,38.306,,,,
38,08/09/18 09:30:00 AM,29.439,39.568,,,,
39,08/09/18 10:00:00 AM,29.740,40.298,,,,
40,08/09/18 10:30:00 AM,30.142,39.541,,,,
41,08/09/18 11:00:00 AM,30.495,39.043,,,,
42,08/09/18 11:30:00 AM,30.849,38.846,,,,
43,08/09/18 12:00:00 PM,31.204,33.106,,,,
44,08/09/18 12:30:00 PM,31.433,32.034,,,,
