"Plot Title:  20363444"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20363444, SEN S/N: 20363444, LBL: 100)","RH, % (LGR S/N: 20363444, SEN S/N: 20363444, LBL: 100)","Coupler Detached (LGR S/N: 20363444)","Coupler Attached (LGR S/N: 20363444)","Host Connected (LGR S/N: 20363444)","End Of File (LGR S/N: 20363444)"
1,08/08/18 03:00:00 PM,36.878,42.810,Logged,,,
2,08/08/18 03:30:00 PM,38.004,42.766,,,,
3,08/08/18 04:00:00 PM,39.008,40.670,,,,
4,08/08/18 04:30:00 PM,38.700,37.941,,,,
5,08/08/18 05:00:00 PM,38.004,36.364,,,,
6,08/08/18 05:30:00 PM,37.783,38.875,,,,
7,08/08/18 06:00:00 PM,36.606,36.881,,,,
8,08/08/18 06:30:00 PM,34.704,36.834,,,,
9,08/08/18 07:00:00 PM,33.495,36.615,,,,
10,08/08/18 07:30:00 PM,31.919,38.351,,,,
11,08/08/18 08:00:00 PM,31.230,37.609,,,,
12,08/08/18 08:30:00 PM,31.077,37.930,,,,
13,08/08/18 09:00:00 PM,30.900,38.281,,,,
14,08/08/18 09:30:00 PM,30.773,38.670,,,,
15,08/08/18 10:00:00 PM,30.672,39.028,,,,
16,08/08/18 10:30:00 PM,30.293,39.256,,,,
17,08/08/18 11:00:00 PM,29.165,37.805,,,,
18,08/08/18 11:30:00 PM,28.245,36.644,,,,
19,08/09/18 12:00:00 AM,27.407,36.027,,,,
20,08/09/18 12:30:00 AM,26.695,35.725,,,,
21,08/09/18 01:00:00 AM,26.061,35.530,,,,
22,08/09/18 01:30:00 AM,26.109,36.900,,,,
23,08/09/18 02:00:00 AM,26.061,37.891,,,,
24,08/09/18 02:30:00 AM,25.987,38.546,,,,
25,08/09/18 03:00:00 AM,25.987,39.306,,,,
26,08/09/18 03:30:00 AM,25.963,39.765,,,,
27,08/09/18 04:00:00 AM,26.036,40.332,,,,
28,08/09/18 04:30:00 AM,26.085,40.831,,,,
29,08/09/18 05:00:00 AM,26.061,41.091,,,,
30,08/09/18 05:30:00 AM,26.085,41.553,,,,
31,08/09/18 06:00:00 AM,26.061,41.845,,,,
32,08/09/18 06:30:00 AM,26.012,42.036,,,,
33,08/09/18 07:00:00 AM,26.061,42.336,,,,
34,08/09/18 07:30:00 AM,27.161,43.671,,,,
35,08/09/18 08:00:00 AM,28.394,43.518,,,,
36,08/09/18 08:30:00 AM,29.615,41.114,,,,
37,08/09/18 09:00:00 AM,30.343,41.226,,,,
38,08/09/18 09:30:00 AM,31.026,40.501,,,,
39,08/09/18 10:00:00 AM,31.944,39.897,,,,
40,08/09/18 10:30:00 AM,32.484,39.685,,,,
41,08/09/18 11:00:00 AM,33.365,39.002,,,,
42,08/09/18 11:30:00 AM,36.851,31.462,,,,
43,08/09/18 12:00:00 PM,27.382,52.217,,,,
44,08/09/18 12:30:00 PM,27.727,50.121,,,,
45,08/09/18 01:00:00 PM,27.382,47.274,,,,
46,08/09/18 01:30:00 PM,27.604,47.786,,,,
47,08/09/18 02:00:00 PM,28.642,43.940,,,,
48,08/09/18 02:30:00 PM,29.340,42.803,,,,
49,08/09/18 03:00:00 PM,30.016,41.058,,,,
50,08/09/18 03:30:00 PM,30.243,38.850,,,,
51,08/09/18 04:00:00 PM,33.391,32.375,,,,
52,08/09/18 04:30:00 PM,28.941,42.033,,,,
53,08/09/18 05:00:00 PM,28.221,46.306,,,,
54,08/09/18 05:30:00 PM,28.692,43.716,,,,
55,08/09/18 06:00:00 PM,28.196,44.379,,,,
56,08/09/18 06:30:00 PM,29.290,38.319,,,,
57,08/09/18 07:00:00 PM,28.642,42.593,,,,
58,08/09/18 07:30:00 PM,28.171,46.138,,,,
